iter	Passed	Remaining
0	0	68
1	1	64
2	2	67
3	2	59
4	3	58
5	3	57
6	4	56
7	4	56
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	51
14	8	50
15	9	49
16	9	48
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	44
23	13	44
24	14	43
25	14	42
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	37
33	19	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	54	0
